 מדדים וקבוצות ני''ע - מדדי שווי שוק,,,,,,,,,
נכון ל- 08/01/2024
קבוצת ני''ע,קטגוריה,קוד מדד,שער אחרון,שינוי,מחזור (במיליוני ש''ח),עליות (מס' ני''ע),ירידות (מס' ני''ע) , ללא שינוי (מס' ני''ע),שווי שוק (במיליוני ש''ח)
ת''א-EW125,מדדי שווי שוק,189,1914.75,-0.58,1146,40,84,1,817061
ת''א All-Share,מדדי שווי שוק,168,1719.24,-0.87,1260,85,288,10,929172
ת''א-רימון,מדדי שווי שוק,175,1974.12,-0.61,1242,62,192,4,905534
ת''א-35,מדדי שווי שוק,142,1870.77,0.16,802,13,21,1,569694
ת''א-125 אקלים נקי,מדדי שווי שוק,185,1860.96,0.08,968,35,66,1,692521
ת''א-125,מדדי שווי שוק,137,1895.86,-0.05,1146,40,84,1,817061
ת''א סקטור-באלאנס,מדדי שווי שוק,177,2134.80,-0.30,1080,34,65,1,758875
ת''א-90,מדדי שווי שוק,143,2009.85,-0.68,344,27,63,0,247368
ת''א-SME60,מדדי שווי שוק,147,654.10,-1.16,66,14,45,1,47519
ת''א-MidCap150,מדדי שווי שוק,176,1275.61,-0.73,410,41,108,1,294887
ת''א-צמיחה,מדדי שווי שוק,163,1448.12,-1.57,48,31,159,8,64591
